댓글 작성자,댓글 내용,댓글 작성 시간
fewfe dldldl,내 주변은 원본 안켜진다고 하더라구요. 다들 원박으로 보던ㅋ,2024-01-27 14:35:17
위로,체팅에 유튜브가없어,2024-01-27 14:35:19
핑크아루,구독자가 늘어남,2024-01-27 14:35:19
프로트악티늄,유튜브...,2024-01-27 14:35:19
오라쿠,어?,2024-01-27 14:35:19
J J,유튜브는...,2024-01-27 14:35:19
이전압,어떤대,2024-01-27 14:35:21
젤다링크,뭔데요?,2024-01-27 14:35:22
엄Sorry,그러네 유튜브가없네,2024-01-27 14:35:23
위로,유튜브 버려?,2024-01-27 14:35:24
도톰하디와 아서병건,우리도 보여줘,2024-01-27 14:35:24
아구몬,유비맨 유튜부도 데려가,2024-01-27 14:35:24
Tomato,저희를 유기하지 말아주세요,2024-01-27 14:35:27
프로트악티늄,유튜브...,2024-01-27 14:35:27
안녕,거짓말,2024-01-27 14:35:27
최혜지,오,2024-01-27 14:35:30
KiM Hyun-woo,우리 안보임,2024-01-27 14:35:30
잠잠잠,침승상이 유투브 채팅창은 버리셨구나,2024-01-27 14:35:31
개인,실험맨ㅋㅋㅋㅋ,2024-01-27 14:35:31
애니드림,순시청자?,2024-01-27 14:35:32
Hailey,ㅊㅎ,2024-01-27 14:35:32
키위새,헮미,2024-01-27 14:35:33
지팩,유튭 버려?,2024-01-27 14:35:35
놉놉,아니 여기 사람 많다고,2024-01-27 14:35:35
Yo! Yo! Yo!,똑같은 숫자 다른 내용물 :astonished_face:,2024-01-27 14:35:35
SURIN,이미버려진...,2024-01-27 14:35:36
나민하,5도류 가자 침착맨+원박까지 ㅋㅋㅋㅋㅋㅋㅋㅋ,2024-01-27 14:35:37
AHJ,원박 +본채널 5도류 ㄷㄷㄷ,2024-01-27 14:35:38
구차차,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ침승상..,2024-01-27 14:35:38
개인,오?,2024-01-27 14:35:38
키위새,헮미,2024-01-27 14:35:38
나옹이다옹,무친 실험 ,2024-01-27 14:35:38
이전압,순시청자가 뭐야??,2024-01-27 14:35:39
둘기 비,어디가,2024-01-27 14:35:39
뽀용뽀용,유튜브 댓들도,2024-01-27 14:35:40
지팩,유튭버려?,2024-01-27 14:35:40
로뮤엘,유튜뷰 시청자ㅜ안나온다고요,2024-01-27 14:35:41
구차차,어찌하여 유튜브는 버리고 가셨소,2024-01-27 14:35:42
우주,:face-pink-tears:,2024-01-27 14:35:42
도톰하디와 아서병건,썸바디 헬미,2024-01-27 14:35:45
놉놉,유튭 데려가 개방장,2024-01-27 14:35:46
지팩,유튭버려?,2024-01-27 14:35:46
오입마루,째릿,2024-01-27 14:35:48
ㅇ_ㅇ,ㅠㅠㅠㅠㅠㅠ,2024-01-27 14:35:50
Vora Park,째려봄 ㅠ,2024-01-27 14:35:51
아구몬,유튜부 버려?,2024-01-27 14:35:52
Yeonsang Rhee,순살 시청자가 뭔데,2024-01-27 14:35:53
박진영,유루부없어,2024-01-27 14:35:54
Go hard,아 채팅창에 유튜브가없누¿??????????,2024-01-27 14:35:54
핑크아루,유튭켜주세요,2024-01-27 14:35:55
이전압,유튭댓글은 왜 안보,2024-01-27 14:35:56
김도연,아침부터 킹받는다 행복해,2024-01-27 14:35:56
박진영,우우,2024-01-27 14:35:58
umhumm S,아니 오애 유튭 버려짐 오랜만에 왔는데 ㅠ,2024-01-27 14:35:58
최서영,아이거,2024-01-27 14:35:59
ASK,찌ㅡ릿,2024-01-27 14:36:00
fewfe dldldl,오호,2024-01-27 14:36:01
르미르미,모야 모야,2024-01-27 14:36:01
구차차,유튜브 버리지말아줘 제발,2024-01-27 14:36:01
ㅇ_ㅇ,:face-pink-tears::face-pink-tears::face-pink-tears::face-pink-tears:,2024-01-27 14:36:01
H,그럼 시청시간은 줄어든거란 거잖아,2024-01-27 14:36:01
dnskal,근데 왜 유툽은 무시하는거..,2024-01-27 14:36:01
김소희,째릿,2024-01-27 14:36:03
박주형,야야 방송 시작했다 문닫아라,2024-01-27 14:36:06
jeon,층간소음 뭐야,2024-01-27 14:36:06
넝담입니다,우우우,2024-01-27 14:36:07
ㅇㅇㅇ,보다 도망갔다는뜻,2024-01-27 14:36:07
김가형,이제 하루를 시작해볼까~~!,2024-01-27 14:36:08
오라쿠,시청자 수위가 다르다고?,2024-01-27 14:36:08
Hailey,왜왜 무슨일이야,2024-01-27 14:36:08
유부우동,유튭도 보ㅓ줘,2024-01-27 14:36:08
Reenact,아 순시간?,2024-01-27 14:36:09
jeon,층간소음 나요 ,2024-01-27 14:36:09
두부고백,우리 버리지마,2024-01-27 14:36:10
위로,뼈시청자,2024-01-27 14:36:11
놉놉,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,2024-01-27 14:36:11
